Survived,Gender
N,Male
Y,Female
N,Male
N,Male
Y,Female
N,Male
Y,Female
N,Male
Y,Female
N,Male
N,Male
N,Male
Y,Female
N,Male
Y,Female
Y,Female
N,Male
N,Male
Y,Female
Y,Female
N,Male
N,Male
Y,Female
Y,Male
Y,Female
N,Male
Y,Female
N,Male
N,Male
N,Male
N,Male
N,Male
Y,Female
Y,Female
N,Male
N,Male
Y,Female
Y,Female
N,Male
N,Male
N,Male
N,Male
N,Male
Y,Female
Y,Female
N,Male
N,Male
N,Male
Y,Female
Y,Female
N,Male
N,Male
Y,Female
Y,Female
N,Male
N,Male
N,Male
N,Male
N,Male
Y,Female
N,Male
N,Male
N,Male
Y,Female
Y,Male
Y,Female
Y,Female
N,Male
N,Male
Y,Female
Y,Female
N,Male
Y,Female
N,Male
Y,Female
Y,Male
N,Male
Y,Female
N,Male
Y,Female
N,Male
N,Male
N,Male
N,Male
N,Male
N,Male
Y,Female
Y,Female
Y,Female
N,Male
Y,Female
N,Male
Y,Female
N,Male
N,Male
N,Male
Y,Female
N,Male
Y,Female
N,Male
Y,Female
N,Male
N,Male
N,Male
Y,Female
N,Male
N,Male
N,Male
N,Male
N,Male
N,Male
Y,Female
Y,Female
Y,Female
Y,Female
N,Male
N,Male
Y,Female
Y,Male
Y,Female
Y,Female
N,Male
Y,Female
N,Male
N,Male
Y,Female
N,Male
Y,Female
N,Male
N,Male
N,Male
N,Male
Y,Female
N,Male
N,Male
N,Male
N,Male
N,Male
Y,Female
N,Male
N,Female
Y,Female
Y,Male
N,Male
N,Male
N,Male
Y,Male
N,Male
N,Male
N,Male
Y,Female
N,Male
N,Male
Y,Female
N,Male
N,Male
Y,Female
Y,Female
N,Male
Y,Female
Y,Female
N,Male
Y,Female
N,Male
N,Male
Y,Female
N,Male
N,Male
Y,Female
Y,Female
N,Male
N,Male
N,Male
N,Male
N,Male
Y,Female
Y,Female
N,Male
Y,Female
Y,Female
N,Male
N,Male
Y,Female
N,Male
Y,Female
N,Male
Y,Female
N,Male
N,Female
N,Male
N,Male
N,Male
N,Male
N,Male
N,Male
N,Male
Y,Male
Y,Female
N,Male
Y,Female
Y,Female
N,Male
Y,Male
Y,Female
N,Male
Y,Male
Y,Female
N,Male
Y,Female
N,Male
N,Male
N,Male
N,Male
Y,Female
N,Female
N,Male
Y,Female
N,Male
Y,Female
N,Male
Y,Female
N,Male
Y,Female
N,Male
Y,Female
Y,Female
N,Male
Y,Female
N,Male
N,Male
N,Male
Y,Female
N,Male
N,Male
N,Male
N,Male
N,Male
N,Male
Y,Female
Y,Female
Y,Female
Y,Female
Y,Male
N,Male
N,Male
N,Male
Y,Female
N,Male
Y,Female
Y,Female
Y,Female
N,Male
Y,Male
N,Male
N,Male
N,Male
N,Male
N,Male
Y,Female
N,Male
N,Male
N,Male
Y,Female
Y,Female
N,Male
N,Male
N,Male
N,Male
Y,Female
N,Male
Y,Male
N,Male
Y,Female
Y,Female
N,Male
Y,Female
N,Male
N,Male
N,Male
N,Male
Y,Female
N,Male
Y,Female
Y,Female
Y,Female
N,Male
N,Male
N,Male
N,Male
N,Male
Y,Male
Y,Female
N,Male
N,Male
N,Male
N,Male
Y,Female
N,Male
N,Male
N,Male
N,Male
N,Male
N,Male
N,Male
Y,Female
Y,Female
Y,Male
N,Male
N,Male
Y,Female
N,Male
N,Male
N,Male
Y,Female
Y,Female
Y,Female
Y,Male
N,Male
N,Male
N,Male
N,Male
N,Male
N,Male
N,Male
Y,Female
N,Male
Y,Female
Y,Male
N,Male
N,Male
Y,Female
N,Male
N,Male
Y,Female
N,Male
N,Male
N,Male
N,Male
N,Male
N,Male
N,Male
N,Male
N,Male
Y,Female
N,Male
Y,Female
N,Male
Y,Female
N,Male
Y,Female
Y,Female
N,Male
N,Male
N,Male
Y,Female
N,Male
Y,Female
N,Male
N,Male
Y,Female
N,Male
Y,Female
Y,Female
N,Male
Y,Female
Y,Female
N,Male
Y,Female
Y,Female
N,Male
N,Male
Y,Female
N,Male
N,Male
Y,Female
Y,Female
Y,Female
N,Male
N,Male
N,Male
N,Male
N,Male
Y,Female
Y,Female
N,Male
Y,Female
N,Male
N,Male
N,Male
N,Male
Y,Male
Y,Female
N,Male
N,Male
N,Male
Y,Female
N,Male
Y,Female
N,Male
N,Male
Y,Female
N,Male
Y,Female
N,Male
N,Male
N,Male
N,Male
Y,Male
Y,Female
Y,Female
Y,Female
Y,Female
Y,Female
N,Male
Y,Female
N,Male
N,Male
N,Male
